범죄분류,00시00분-02시59분,03시00분-05시59분,06시00분-08시59분,09시00분-11시59분,12시00분-14시59분,15시00분-17시59분,18시00분-20시59분,21시00분-23시59분,미상
절도,12596,13731,12483,20672,24578,26672,25697,19984,21045
살인,65,57,63,91,78,77,133,140,145
강도,112,135,49,76,68,67,90,98,146
방화,165,154,106,120,140,188,213,250,142
성폭력,3054,3250,2246,2394,2615,3327,4034,5086,6098
폭행,20672,17595,9728,12137,12310,14971,21459,36140,19488
상해,5126,4258,2669,3503,3548,4084,5487,8578,6413
협박,1080,861,1117,1985,1829,2137,2781,2890,3097
공갈,154,132,81,396,398,569,656,550,1887
약취와유인,2,9,14,21,44,35,28,17,29
체포와감금,113,102,92,165,140,186,199,194,303
폭력행위등(손괴·강요·주거침입등),59,55,44,84,85,86,88,109,159
폭력행위등(단체등의구성·활동),11,32,8,0,9,8,18,13,65
도박과복표,176,91,96,305,416,695,870,833,2592
과실치사상,108,108,173,372,390,498,386,321,450
업무상과실치사상,52,86,291,895,669,569,215,151,693
가정폭력범죄의처벌등에관한특례법,23,13,30,46,47,38,59,63,42
경범죄처벌법,950,878,369,413,426,512,786,1379,1000
교통사고처리특례법,6039,7128,22156,28570,30082,35458,35929,22049,4619
도로교통법,623,644,1326,2175,1980,2399,1804,1539,1468
도로교통법(무면허운전),881,899,2013,4781,3911,5164,3132,3004,655
도로교통법(사고후미조치),1239,1297,1687,1533,1600,1990,2491,2582,822
도로교통법(음주운전),18364,15092,8271,3869,3630,5068,13502,56262,16457
도로교통법(음주측정거부),528,415,175,76,97,151,339,827,337
마약류관리에관한법률(대마),31,28,19,126,150,65,103,68,354
마약류관리에관한법률(마약),5,4,20,246,284,301,53,10,360
마약류관리에관한법률(향정),254,145,111,594,549,475,644,643,2177
성매매알선등행위의처벌에관한법률,385,238,70,290,574,1083,1304,1780,1254
아동·청소년의성보호에관한법률(성매수등),26,20,13,24,26,41,43,41,111
아동·청소년의성보호에관한법률(음란물등),32,30,29,46,54,79,60,49,614
특가법(도주차량),244,211,278,233,262,377,471,558,199
